"filename", "language", "JavaScript", "Vue.js", "SCSS", "YAML", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\天倬管理系统\.eslintrc.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 2, 2, 199
"c:\Users\Lenovo\Desktop\天倬管理系统\.travis.yml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Lenovo\Desktop\天倬管理系统\README-zh.md", "Markdown", 0, 0, 0, 0, 0, 63, 0, 0, 0, 40, 103
"c:\Users\Lenovo\Desktop\天倬管理系统\README.md", "Markdown", 0, 0, 0, 0, 0, 54, 0, 0, 0, 37, 91
"c:\Users\Lenovo\Desktop\天倬管理系统\babel.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 1, 15
"c:\Users\Lenovo\Desktop\天倬管理系统\build\index.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\Lenovo\Desktop\天倬管理系统\jest.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 1, 25
"c:\Users\Lenovo\Desktop\天倬管理系统\jsconfig.json", "JSON", 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 10
"c:\Users\Lenovo\Desktop\天倬管理系统\mock\index.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 6, 9, 58
"c:\Users\Lenovo\Desktop\天倬管理系统\mock\mock-server.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 6, 11, 82
"c:\Users\Lenovo\Desktop\天倬管理系统\mock\table.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Lenovo\Desktop\天倬管理系统\mock\user.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 31, 10, 85
"c:\Users\Lenovo\Desktop\天倬管理系统\mock\utils.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"c:\Users\Lenovo\Desktop\天倬管理系统\package.json", "JSON", 0, 0, 0, 0, 0, 0, 63, 0, 0, 1, 64
"c:\Users\Lenovo\Desktop\天倬管理系统\postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"c:\Users\Lenovo\Desktop\天倬管理系统\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\Lenovo\Desktop\天倬管理系统\src\App.vue", "Vue.js", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Lenovo\Desktop\天倬管理系统\src\api\order.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 0, 4, 1, 104
"c:\Users\Lenovo\Desktop\天倬管理系统\src\api\user.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 3, 29
"c:\Users\Lenovo\Desktop\天倬管理系统\src\components\Breadcrumb\index.vue", "Vue.js", 0, 70, 0, 0, 0, 0, 0, 0, 2, 7, 79
"c:\Users\Lenovo\Desktop\天倬管理系统\src\components\Hamburger\index.vue", "Vue.js", 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 45
